sample_id,subject_id,days_from_first_dose,rows
CVAX_003_0,CVAX003,0,JA20035_CVAX003_1_PB_Whole_C1_ILSMR
CVAX_003_8,CVAX003,8,JA20035_CVAX003_1_PB_Whole_C2_ILSMR
CVAX_003_28,CVAX003,28,JA20035_CVAX003_1_PB_Whole_C3_ILSMR
CVAX_004_0,CVAX004,0,JA20035_CVAX004_1_PB_Whole_C1_ILSMR
CVAX_004_8,CVAX004,8,JA20035_CVAX004_1_PB_Whole_C2_ILSMR
CVAX_004_28,CVAX004,28,JA20035_CVAX004_1_PB_Whole_C3_ILSMR
CVAX_010_0,CVAX010,0,JA20035_CVAX010_1_PB_Whole_C1_ILSMR
CVAX_010_8,CVAX010,8,JA20035_CVAX010_1_PB_Whole_C2_ILSMR
CVAX_010_28,CVAX010,28,JA20035_CVAX010_1_PB_Whole_C3_ILSMR
CVAX_014_0,CVAX014,0,JA20035_CVAX014_1_PB_Whole_C1_ILSMR
CVAX_014_8,CVAX014,8,JA20035_CVAX014_1_PB_Whole_C2_ILSMR
CVAX_014_28,CVAX014,28,JA20035_CVAX014_1_PB_Whole_C3_ILSMR
CVAX_016_0,CVAX016,0,JA20035_CVAX016_1_PB_Whole_C1_ILSMR
CVAX_016_8,CVAX016,8,JA20035_CVAX016_1_PB_Whole_C2_ILSMR
CVAX_016_28,CVAX016,28,JA20035_CVAX016_1_PB_Whole_C3_ILSMR
CVAX_017_0,CVAX017,0,JA20035_CVAX017_1_PB_Whole_C1_ILSMR
CVAX_017_8,CVAX017,8,JA20035_CVAX017_1_PB_Whole_C2_ILSMR
CVAX_017_28,CVAX017,28,JA20035_CVAX017_1_PB_Whole_C3_ILSMR
CVAX_018_0,CVAX018,0,JA20035_CVAX018_1_PB_Whole_C1_ILSMR
CVAX_018_8,CVAX018,8,JA20035_CVAX018_1_PB_Whole_C2_ILSMR
CVAX_018_28,CVAX018,28,JA20035_CVAX018_1_PB_Whole_C3_ILSMR
CVAX_020_0,CVAX020,0,JA20035_CVAX020_1_PB_Whole_C1_ILSMR
CVAX_020_8,CVAX020,8,JA20035_CVAX020_1_PB_Whole_C2_ILSMR
CVAX_020_28,CVAX020,28,JA20035_CVAX020_1_PB_Whole_C3_ILSMR
